TYPE,YEAR,MONTH,Observations,YEAR-MONTH
Theft from Vehicle,2008,6,1017,2008-06-01
Theft from Vehicle,2008,7,875,2008-07-01
Theft from Vehicle,2008,8,943,2008-08-01
Theft from Vehicle,2008,9,1000,2008-09-01
Theft from Vehicle,2008,10,1016,2008-10-01
Theft from Vehicle,2008,11,972,2008-11-01
Theft from Vehicle,2008,12,956,2008-12-01
Theft from Vehicle,2009,1,897,2009-01-01
Theft from Vehicle,2009,2,972,2009-02-01
Theft from Vehicle,2009,3,842,2009-03-01
Theft from Vehicle,2009,4,747,2009-04-01
Theft from Vehicle,2009,5,817,2009-05-01
Theft from Vehicle,2009,6,803,2009-06-01
Theft from Vehicle,2009,7,799,2009-07-01
Theft from Vehicle,2009,8,871,2009-08-01
Theft from Vehicle,2009,9,927,2009-09-01
Theft from Vehicle,2009,10,806,2009-10-01
Theft from Vehicle,2009,11,831,2009-11-01
Theft from Vehicle,2009,12,696,2009-12-01
Theft from Vehicle,2010,1,709,2010-01-01
Theft from Vehicle,2010,2,627,2010-02-01
Theft from Vehicle,2010,3,714,2010-03-01
Theft from Vehicle,2010,4,599,2010-04-01
Theft from Vehicle,2010,5,677,2010-05-01
Theft from Vehicle,2010,6,675,2010-06-01
Theft from Vehicle,2010,7,685,2010-07-01
Theft from Vehicle,2010,8,793,2010-08-01
Theft from Vehicle,2010,9,833,2010-09-01
Theft from Vehicle,2010,10,915,2010-10-01
Theft from Vehicle,2010,11,725,2010-11-01
Theft from Vehicle,2010,12,662,2010-12-01
Theft from Vehicle,2011,1,628,2011-01-01
Theft from Vehicle,2011,2,680,2011-02-01
Theft from Vehicle,2011,3,605,2011-03-01
Theft from Vehicle,2011,4,510,2011-04-01
Theft from Vehicle,2011,5,608,2011-05-01
Theft from Vehicle,2011,6,520,2011-06-01
Theft from Vehicle,2011,7,749,2011-07-01
Theft from Vehicle,2011,8,678,2011-08-01
Theft from Vehicle,2011,9,671,2011-09-01
Theft from Vehicle,2011,10,589,2011-10-01
Theft from Vehicle,2011,11,568,2011-11-01
Theft from Vehicle,2011,12,628,2011-12-01
Theft from Vehicle,2012,1,665,2012-01-01
Theft from Vehicle,2012,2,661,2012-02-01
Theft from Vehicle,2012,3,733,2012-03-01
Theft from Vehicle,2012,4,758,2012-04-01
Theft from Vehicle,2012,5,597,2012-05-01
Theft from Vehicle,2012,6,627,2012-06-01
Theft from Vehicle,2012,7,599,2012-07-01
Theft from Vehicle,2012,8,736,2012-08-01
Theft from Vehicle,2012,9,638,2012-09-01
Theft from Vehicle,2012,10,639,2012-10-01
Theft from Vehicle,2012,11,802,2012-11-01
Theft from Vehicle,2012,12,641,2012-12-01
Theft from Vehicle,2013,1,516,2013-01-01
Theft from Vehicle,2013,2,496,2013-02-01
Theft from Vehicle,2013,3,641,2013-03-01
Theft from Vehicle,2013,4,720,2013-04-01
Theft from Vehicle,2013,5,754,2013-05-01
Theft from Vehicle,2013,6,667,2013-06-01
Theft from Vehicle,2013,7,677,2013-07-01
Theft from Vehicle,2013,8,683,2013-08-01
Theft from Vehicle,2013,9,668,2013-09-01
Theft from Vehicle,2013,10,813,2013-10-01
Theft from Vehicle,2013,11,891,2013-11-01
Theft from Vehicle,2013,12,807,2013-12-01
Theft from Vehicle,2014,1,718,2014-01-01
Theft from Vehicle,2014,2,603,2014-02-01
Theft from Vehicle,2014,3,682,2014-03-01
Theft from Vehicle,2014,4,664,2014-04-01
Theft from Vehicle,2014,5,859,2014-05-01
Theft from Vehicle,2014,6,845,2014-06-01
Theft from Vehicle,2014,7,1016,2014-07-01
Theft from Vehicle,2014,8,1103,2014-08-01
Theft from Vehicle,2014,9,1042,2014-09-01
Theft from Vehicle,2014,10,963,2014-10-01
Theft from Vehicle,2014,11,822,2014-11-01
Theft from Vehicle,2014,12,823,2014-12-01
Theft from Vehicle,2015,1,861,2015-01-01
Theft from Vehicle,2015,2,723,2015-02-01
Theft from Vehicle,2015,3,705,2015-03-01
Theft from Vehicle,2015,4,780,2015-04-01
Theft from Vehicle,2015,5,773,2015-05-01
Theft from Vehicle,2015,6,718,2015-06-01
Theft from Vehicle,2015,7,912,2015-07-01
Theft from Vehicle,2015,8,822,2015-08-01
Theft from Vehicle,2015,9,853,2015-09-01
Theft from Vehicle,2015,10,1033,2015-10-01
Theft from Vehicle,2015,11,1215,2015-11-01
Theft from Vehicle,2015,12,1151,2015-12-01
Theft from Vehicle,2016,1,1264,2016-01-01
Theft from Vehicle,2016,2,1017,2016-02-01
Theft from Vehicle,2016,3,1143,2016-03-01
Theft from Vehicle,2016,4,1062,2016-04-01
Theft from Vehicle,2016,5,1183,2016-05-01
Theft from Vehicle,2016,6,1090,2016-06-01
Theft from Vehicle,2016,7,1156,2016-07-01
Theft from Vehicle,2016,8,1003,2016-08-01
Theft from Vehicle,2016,9,985,2016-09-01
Theft from Vehicle,2016,10,1091,2016-10-01
Theft from Vehicle,2016,11,943,2016-11-01
Theft from Vehicle,2016,12,877,2016-12-01
Theft from Vehicle,2017,1,841,2017-01-01
Theft from Vehicle,2017,2,756,2017-02-01
Theft from Vehicle,2017,3,990,2017-03-01
Theft from Vehicle,2017,4,961,2017-04-01
Theft from Vehicle,2017,5,992,2017-05-01
Theft from Vehicle,2017,6,1058,2017-06-01
Theft from Vehicle,2017,7,1098,2017-07-01
Theft from Vehicle,2017,8,1209,2017-08-01
Theft from Vehicle,2017,9,1186,2017-09-01
Theft from Vehicle,2017,10,1313,2017-10-01
Theft from Vehicle,2017,11,1300,2017-11-01
Theft from Vehicle,2017,12,1253,2017-12-01
Theft from Vehicle,2018,1,1359,2018-01-01
Theft from Vehicle,2018,2,1112,2018-02-01
Theft from Vehicle,2018,3,1137,2018-03-01
Theft from Vehicle,2018,4,1261,2018-04-01
Theft from Vehicle,2018,5,1151,2018-05-01
Theft from Vehicle,2018,6,1174,2018-06-01
Theft from Vehicle,2018,7,1079,2018-07-01
Theft from Vehicle,2018,8,1250,2018-08-01
Theft from Vehicle,2018,9,1291,2018-09-01
Theft from Vehicle,2018,10,1262,2018-10-01
Theft from Vehicle,2018,11,1396,2018-11-01
Theft from Vehicle,2018,12,1524,2018-12-01
Theft from Vehicle,2019,1,1544,2019-01-01
Theft from Vehicle,2019,2,1115,2019-02-01
Theft from Vehicle,2019,3,1282,2019-03-01
Theft from Vehicle,2019,4,1321,2019-04-01
Theft from Vehicle,2019,5,1454,2019-05-01
Theft from Vehicle,2019,6,1306,2019-06-01
Theft from Vehicle,2019,7,1506,2019-07-01
Theft from Vehicle,2019,8,1536,2019-08-01
Theft from Vehicle,2019,9,1626,2019-09-01
Theft from Vehicle,2019,10,1642,2019-10-01
Theft from Vehicle,2019,11,1405,2019-11-01
Theft from Vehicle,2019,12,1269,2019-12-01
Theft from Vehicle,2020,1,1350,2020-01-01
Theft from Vehicle,2020,2,1263,2020-02-01
Theft from Vehicle,2020,3,1164,2020-03-01
Theft from Vehicle,2020,4,943,2020-04-01
Theft from Vehicle,2020,5,556,2020-05-01
Theft from Vehicle,2020,6,534,2020-06-01
Theft from Vehicle,2020,7,687,2020-07-01
Theft from Vehicle,2020,8,848,2020-08-01
Theft from Vehicle,2020,9,844,2020-09-01
Theft from Vehicle,2020,10,870,2020-10-01
Theft from Vehicle,2020,11,685,2020-11-01
Theft from Vehicle,2020,12,686,2020-12-01
Theft from Vehicle,2021,1,711,2021-01-01
Theft from Vehicle,2021,2,565,2021-02-01
Theft from Vehicle,2021,3,546,2021-03-01
Theft from Vehicle,2021,4,526,2021-04-01
Theft from Vehicle,2021,5,602,2021-05-01
Theft from Vehicle,2021,6,562,2021-06-01
Theft from Vehicle,2021,7,691,2021-07-01
Theft from Vehicle,2021,8,735,2021-08-01
Theft from Vehicle,2021,9,716,2021-09-01
Theft from Vehicle,2021,10,630,2021-10-01
Theft from Vehicle,2021,11,633,2021-11-01
Theft from Vehicle,2021,12,584,2021-12-01
Theft from Vehicle,2022,1,593,2022-01-01
Theft from Vehicle,2022,2,541,2022-02-01
Theft from Vehicle,2022,3,697,2022-03-01
Theft from Vehicle,2022,4,667,2022-04-01
Theft from Vehicle,2022,5,602,2022-05-01
Theft from Vehicle,2022,6,640,2022-06-01
Theft from Vehicle,2022,7,574,2022-07-01
Theft from Vehicle,2022,8,621,2022-08-01
Theft from Vehicle,2022,9,680,2022-09-01
Theft from Vehicle,2022,10,655,2022-10-01
Theft from Vehicle,2022,11,497,2022-11-01
Theft from Vehicle,2022,12,509,2022-12-01
Theft from Vehicle,2023,1,644,2023-01-01
Theft from Vehicle,2023,2,495,2023-02-01
Theft from Vehicle,2023,3,651,2023-03-01
Theft from Vehicle,2023,4,547,2023-04-01
Theft from Vehicle,2023,5,611,2023-05-01
Theft from Vehicle,2023,6,645,2023-06-01
Theft from Vehicle,2023,7,684,2023-07-01
Theft from Vehicle,2023,8,749,2023-08-01
Theft from Vehicle,2023,9,651,2023-09-01
Theft from Vehicle,2023,10,656,2023-10-01
